a,ph,a,ph,a,ph,a,ph,a,ph,a,ph,a,ph,a,ph
7100,-82.1261,6870,-77.6048,6790,-68.5153,8180,-87.8511,8430,-83.0123,8580,-87.6568,7100,-82.1261,6870,-77.6048
11100,-69.2861,10400,-63.0192,9390,-51.3181,13400,-73.9307,13100,-65.9567,13900,-72.7691,11100,-69.2861,10400,-63.0192
17900,-49.3108,15400,-42.2774,12100,-30.8679,22000,-50.5678,19300,-42.2621,22500,-50.0901,17900,-49.3108,15400,-42.2774
23200,-30.0606,18700,-24.6863,13400,-17.3423,28100,-29.4371,23000,-23.6645,28600,-29.3738,23200,-30.0606,18700,-24.6863
25700,-16.6035,20100,-13.6641,13900,-9.6726,30600,-15.3079,24400,-12.7704,31300,-15.9212,25700,-16.6035,20100,-13.6641
26800,-8.7942,20700,-7.3133,14200,-5.409,31400,-8.3928,25000,-6.6104,32300,-8.4734,26800,-8.7942,20700,-7.3133
27100,-4.7944,21000,-4.2204,14400,-3.4077,31900,-4.2051,25200,-3.9014,32700,-5.0578,27100,-4.7944,21000,-4.2204
27500,-3.1683,21100,-2.1112,14700,-2.4857,31200,-3.1404,25600,-1.5058,32300,-1.7159,27500,-3.1683,21100,-2.1112
27400,-1.4274,21400,-1.7268,14800,-1.8346,32600,-1.7866,25600,-1.4385,32800,-1.9072,27400,-1.4274,21400,-1.7268
27800,-0.7874,21600,-1.2494,15000,-1.8232,32300,-2.8576,24500,-2.1821,32300,-3.5195,27800,-0.7874,21600,-1.2494
28100,-1.0096,21800,-1.1191,15100,-1.5537,32600,-1.1338,26200,-0.9349,33900,-1.5743,28100,-1.0096,21800,-1.1191
28300,-1.0125,22000,-1.2042,15300,-1.6479,32900,-1.3032,26500,-0.9946,34300,-1.7328,28300,-1.0125,22000,-1.2042
28700,-1.0615,22300,-1.2899,15600,-1.8671,33200,-1.1041,26800,-1.1406,34800,-1.995,28700,-1.0615,22300,-1.2899
29200,-1.3706,22700,-1.488,15900,-2.13,33500,-1.2684,27200,-1.1683,35400,-2.4882,29200,-1.3706,22700,-1.488
29900,-1.6972,23200,-1.7298,16300,-2.6085,34000,-1.606,27800,-1.6639,36300,-2.831,29900,-1.6972,23200,-1.7298
30800,-2.068,24000,-2.0552,16800,-3.3782,34700,-1.931,28600,-1.911,37400,-3.241,30800,-2.068,24000,-2.0552
32100,-3.1029,24700,-2.6098,17400,-4.2066,35400,-2.1352,29900,-2.3475,39100,-3.6399,32100,-3.1029,24700,-2.6098
34300,-3.9304,25900,-3.2571,18400,-5.2756,37400,-2.5348,35900,-2.6074,41300,-4.0868,34300,-3.9304,25900,-3.2571
37800,-4.8999,28100,-4.0171,20200,-6.8607,54900,-2.3191,46800,-2.6014,50300,-4.5257,37800,-4.8999,28100,-4.0171
